Universidade,Mesorregião,Município,Curso,Categoria
Unesp,Bauru,Bauru,Artes Visuais,Humanas
Unesp,Metropolitana de São Paulo,São Paulo,Artes Visuais,Humanas
USP,Metropolitana de São Paulo,São Paulo,Artes Visuais,Humanas
PUC-SP,Campinas,Campinas,Artes Visuais,Humanas
PUC-SP,Campinas,Campinas,Artes Visuais,Humanas
Unicamp,Campinas,Campinas,Artes Visuais,Humanas
USP,Metropolitana de São Paulo,São Paulo,Astronomia,Exatas
USP,Metropolitana de São Paulo,São Paulo,Audiovisual,Humanas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Banco de Dados,Exatas
Unesp,Marília,Marília,Biblioteconomia,Humanas
USP,Metropolitana de São Paulo,São Paulo,Biblioteconomia,Humanas
PUC-SP,Campinas,Campinas,Biblioteconomia,Humanas
USP,Ribeirão Preto,Ribeirão Preto,Biblioteconomia e Ciência da Informação,Humanas
UFSCar,Araraquara,São Carlos,Biblioteconomia e Ciência da Informação,Humanas
UNITAU,Vale do Paraíba Paulista,Taubaté,Biomedicina,Saúde
USCS,Metropolitana de São Paulo,São Caetano do Sul,Biomedicina,Saúde
PUC-SP,Campinas,Campinas,Biomedicina,Saúde
Unifesp,Metropolitana de São Paulo,São Paulo,Biomedicina,Saúde
USP,Araraquara,São Carlos,Biomoleculares,Biológicas
USP-Leste,Metropolitana de São Paulo,São Paulo,Biotecnologia,Biológicas
UFSCar,Piracicaba,Araras,Biotecnologia,Biológicas
UFSCar,Araraquara,São Carlos,Biotecnologia,Biológicas
UFABC,Metropolitana de São Paulo,Santo André,Biotecnologia,Biológicas
Unifesp,Vale do Paraíba Paulista,São José dos Campos,Biotecnologia,Biológicas
PUC-SP,Campinas,Campinas,Cibersegurança,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Cibersegurança,Exatas
Unesp,Bauru,Bauru,Ciência da Computação,Exatas
Unesp,Presidente Prudente,Presidente Prudente,Ciência da Computação,Exatas
Unesp,São José do Rio Preto,São José do Rio Preto,Ciência da Computação,Exatas
UFSCar,Araraquara,São Carlos,Ciência da Computação,Exatas
UFSCar,Macro Metropolitana Paulista,Sorocaba,Ciência da Computação,Exatas
UFABC,Metropolitana de São Paulo,Santo André,Ciência da Computação,Exatas
USCS,Metropolitana de São Paulo,São Caetano do Sul,Ciência da Computação,Exatas
PUC-SP,Metropolitana de São Paulo,São Paulo,Ciência da Computação,Exatas
Insper,Metropolitana de São Paulo,São Paulo,Ciência da Computação,Exatas
Unifesp,Vale do Paraíba Paulista,São José dos Campos,Ciência da Computação,Exatas
Unicamp,Campinas,Campinas,Ciência da Computação,Exatas
USP,Araraquara,São Carlos,Ciência de Computação,Exatas
